12,MEX,Mexico,North America,Central America,1958201,1810,98881000,71.5,414972,México,Federal Republic,Vicente Fox Quesada,2515,MX
3,CHN,China,Asia,Eastern Asia,9572900,-1523,1277558000,71.4,982268,Zhongquo,Peoples Republic,Jiang Zemin,1891,CN
9,JPN,Japan,Asia,Eastern Asia,377829,-660,126714000,80.7,3787042,Nihon/Nippon,Constitutional Monarchy,Akihito,1532,JP
6,USA,United States,North America,North America,9363520,1776,278357000,77.1,8510700,United States,Federal Republic,George W. Bush,3813,US
19,FRA,France,Europe,Western Europe,551500,843,59225700,78.8,1424285,France,Republic,Jacques Chirac,2974,FR
27,BEL,Belgium,Europe,Western Europe,30518,1830,10239000,77.8,249704,België/Belgique,Constitutional Monarchy - Federation,Albert II,179,BE
17,GBR,United Kingdom,Europe,British Islands,242900,1066,59623400,77.7,1378330,United Kingdom,Constitutional Monarchy,Elisabeth II,456,GB
30,HTI,Haiti,North America,Caribbean,27750,1804,8222000,49.2,3459,Haïti/Dayti,Republic,Jean-Bertrand Aristide,929,HT
22,VEN,Venezuela,South America,South America,912050,1811,24170000,73.1,95023,Venezuela,Federal Republic,Hugo Chávez Frías,3539,VE
31,NIC,Nicaragua,North America,Central America,130000,1838,5074000,68.7,1988,Nicaragua,Republic,Arnoldo Alemán Lacayo,2734,NI
20,POL,Poland,Europe,Eastern Europe,323250,1918,38653600,73.2,151697,Polska,Republic,Aleksander Kwasniewski,2928,PL
24,YEM,Yemen,Asia,Middle East,527968,1918,18112000,59.8,6041,Al-Yaman,Republic,Ali Abdallah Salih,1780,YE
15,EGY,Egypt,Africa,Northern Africa,1001449,1922,68470000,63.3,82710,Misr,Republic,Hosni Mubarak,608,EG
32,LBN,Lebanon,Asia,Middle East,10400,1941,3282000,71.3,17121,Lubnan,Republic,Émile Lahoud,2438,LB
4,IND,India,Asia,Southern and Central Asia,3287263,1947,1013662000,62.5,447114,Bharat/India,Federal Republic,Kocheril Raman Narayanan,1109,IN
33,OMN,Oman,Asia,Middle East,309500,1951,2542000,71.8,16904,´Uman,Monarchy (Sultanate),Qabus ibn Sa´id,2821,OM
13,DEU,Germany,Europe,Western Europe,357022,1955,82164700,77.4,2133367,Deutschland,Federal Republic,Johannes Rau,3068,DE
28,SOM,Somalia,Africa,Eastern Africa,637657,1960,10097000,46.2,935,Soomaaliya,Republic,Abdiqassim Salad Hassan,3214,SO
36,WSM,Samoa,Oceania,Polynesia,2831,1962,180000,69.2,141,Samoa,Parlementary Monarchy,Malietoa Tanumafili II,3169,WS
21,KEN,Kenya,Africa,Eastern Africa,580367,1963,30080000,48,9217,Kenya,Republic,Daniel arap Moi,1881,KE
1,XVI,Hex Land,North America,CyberSpace,1,1969,1966514816,NULL,9999999,The Internet,Wide Open,Nobody,NULL,WW
35,QAT,Qatar,Asia,Middle East,11000,1971,599000,72.4,9472,Qatar,Monarchy,Hamad ibn Khalifa al-Thani,2973,QA
25,ZWE,Zimbabwe,Africa,Eastern Africa,390757,1980,11669000,37.8,5951,Zimbabwe,Republic,Robert G. Mugabe,4068,ZW
8,RUS,Russian Federation,Europe,Eastern Europe,17075400,1991,146934000,67.2,276608,Rossija,Federal Republic,Vladimir Putin,3580,RU
37,TCA,Turks and Caicos Islands,North America,Caribbean,430,NULL,17000,73.3,96,The Turks and Caicos Islands,Dependent Territory of the UK,Elisabeth II,3423,TC
39,ATA,Antarctica,Antarctica,Antarctica,13120000,NULL,0,NULL,0,–,Co-administrated,,NULL,AQ
